,address,city,state,postal_code,price,facts and features,real estate provider,url,title
942,,Willow Street,PA,17584,"$234,900 ","4 bds, 2.0 ba ,1326 sqft",Howard Hanna Real Estate Services - Lancaster,https://www.zillow.com/homedetails/103-Lynette-Cir-Willow-Street-PA-17584/9730469_zpid/,House for sale
943,,Willow Street,PA,17584,"$299,900 ","4 bds, 2.0 ba ,2708 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/60-Hawthorne-Cir-Willow-Street-PA-17584/9781989_zpid/,House for sale
944,,Willow Street,PA,17584,"$220,000 ","3 bds, 2.0 ba ,1807 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/339A-Carol-Lynn-Dr-Willow-Street-PA-17584/2086135857_zpid/,House for sale
945,,Willow Street,PA,17584,"$2,500,000 ","4 bds, 2.0 ba ,3120 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/799-Rawlinsville-Rd-Willow-Street-PA-17584/246004717_zpid/,House for sale
946,,Willow Street,PA,17584,,"4 bds, 2.0 ba ,2766 sqft",Auction.com,https://www.zillow.com/homedetails/213-Skyline-Dr-Willow-Street-PA-17584/9781629_zpid/,Auction
947,,Willow Street,PA,17584,"$599,000 ","7 bds, 4.0 ba ,4904 sqft",Hometown Property Sales Group LLC,https://www.zillow.com/homedetails/2048-Silver-Ln-Willow-Street-PA-17584/9731039_zpid/,House for sale
948,,Willow Street,PA,17584,"$249,020 ","3 bds, 3.0 ba ,1750 sqft",Millfield Realty,https://www.zillow.com/homedetails/717-Danforth-Cir-7-Willow-Street-PA-17584/2079480372_zpid/,New construction
949,,Willow Street,PA,17584,"$227,400 ","3 bds, 3.0 ba ,1695 sqft",Garman Builders,https://www.zillow.com/homedetails/Southside-Dr-PDR18E-Willow-Street-PA-17584/2082625516_zpid/,New construction
950,,Willow Street,PA,17584,"$223,990 ","3 bds, 2.0 ba ,1401 sqft",Garman Builders,https://www.zillow.com/homedetails/4-Southside-Dr-Willow-Street-PA-17584/306952022_zpid/,New construction
951,,Willow Street,PA,17584,"$220,000 ","3 bds, 2.0 ba ,1807 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/339-339-Carol-Lynn-Dr-A-Willow-Street-PA-17584/2078456201_zpid/,Apartment for sale
952,,Willow Street,PA,17584,"$589,000 ","9 bds, 8.0 ba ,4400 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/2835-Willow-Street-Pike-N-Willow-Street-PA-17584/2083906720_zpid/,House for sale
953,,Willow Street,PA,17584,"$212,400+","3 bds, 2.0 ba ,1403 sqft",Garman Builders,https://www.zillow.com/community/penn-grant-townhomes/2085335038_zpid/,New construction
954,,Willow Street,PA,17584,"$375,000 ","None bds, None ba ,None sqft",Hostetter Realty,https://www.zillow.com/homedetails/0-2-Lancaster-Pike-Willow-Street-PA-17584/2078382972_zpid/,Lot / Land for sale
955,,Lancaster,PA,17584,"$224,990 ","3 bds, 3.0 ba ,1401 sqft",Garman Builders,https://www.zillow.com/homedetails/6-Southside-Dr-Lancaster-PA-17584/306952554_zpid/,New construction
956,,Willow Street,PA,17584,"$243,990 ","3 bds, 3.0 ba ,1401 sqft",Garman Builders,https://www.zillow.com/homedetails/39-Southside-Dr-Willow-Street-PA-17584/2084637630_zpid/,New construction
957,,Willow Street,PA,17584,"$175,000 ","None bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-Radcliff-Rd-2-Willow-Street-PA-17584/2082756560_zpid/,Lot / Land for sale
958,,Willow Street,PA,17584,"$227,525 ","3 bds, 3.0 ba ,1800 sqft",Millfield Realty,https://www.zillow.com/homedetails/721-Danforth-Cir-5-Willow-Street-PA-17584/2078772169_zpid/,New construction
959,,Willow Street,PA,17584,"$88,000 ","None bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-Radcliff-Rd-3-Willow-Street-PA-17584/2082756551_zpid/,Lot / Land for sale
960,,Willow Street,PA,17584,"$214,400+","3 bds, 2.0 ba ,1401 sqft",Garman Builders,https://www.zillow.com/community/penn-grant-townhomes/2085335036_zpid/,New construction
961,,Willow Street,PA,17584,"$232,400+","3 bds, 3.0 ba ,1695 sqft",Garman Builders,https://www.zillow.com/community/penn-grant-townhomes/2085335039_zpid/,New construction
962,,Willow Street,PA,17584,"$97,000 ","None bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-Radcliff-Rd-6-Willow-Street-PA-17584/2082689494_zpid/,Lot / Land for sale
963,,Willow Street,PA,17584,"$148,500 ","None bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-Radcliff-Rd-1-Willow-Street-PA-17584/2082756552_zpid/,Lot / Land for sale
964,,Willow Street,PA,17584,,"3 bds, 1.0 ba ,1394 sqft",,https://www.zillow.com/homedetails/111-1st-St-Willow-Street-PA-17584/9730356_zpid/,Pre-foreclosure / Auction
965,,Willow Street,PA,17584,,"2 bds, 2.0 ba ,1664 sqft",,https://www.zillow.com/homedetails/652-Millwood-Rd-Willow-Street-PA-17584/54240386_zpid/,Pre-foreclosure / Auction
966,,Willow Street,PA,17584,,"3 bds, 1.5 ba ,1472 sqft",,https://www.zillow.com/homedetails/103-Dianne-Cir-Willow-Street-PA-17584/9730450_zpid/,Pre-foreclosure / Auction
967,,Willow Street,PA,17584,,"3 bds, 4.0 ba ,2534 sqft",,https://www.zillow.com/homedetails/113-Mount-Hope-School-Rd-Willow-Street-PA-17584/54241324_zpid/,Pre-foreclosure / Auction
968,,Willow Street,PA,17584,,"3 bds, 2.5 ba ,1152 sqft",,https://www.zillow.com/homedetails/121-Rawlinsville-Rd-Willow-Street-PA-17584/54240183_zpid/,Pre-foreclosure / Auction
969,,Lancaster,PA,17601,"$225,000 ","4 bds, 2.0 ba ,1616 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/1626-Glenn-Rd-Lancaster-PA-17601/54256336_zpid/,House for sale
970,,Lancaster,PA,17601,"$349,000 ","4 bds, 3.0 ba ,2979 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/2579-Spring-Valley-Rd-Lancaster-PA-17601/9718706_zpid/,House for sale
971,,Lancaster,PA,17601,"$154,900 ","2 bds, 2.0 ba ,1246 sqft",RE/MAX Of Reading,https://www.zillow.com/homedetails/1101-Country-Place-Dr-Lancaster-PA-17601/9716839_zpid/,House for sale
972,,Lancaster,PA,17601,"$299,900 ","6 bds, 3.0 ba ,2584 sqft","RSR, REALTORS, LLC",https://www.zillow.com/homedetails/1509-Crescent-Ave-Lancaster-PA-17601/2078537453_zpid/,House for sale
973,,Lancaster,PA,17601,"$215,000 ","2 bds, 1.0 ba ,1117 sqft",Advanced Realty Services,https://www.zillow.com/homedetails/2132-New-Holland-Pike-Lancaster-PA-17601/9725058_zpid/,House for sale
974,,Lancaster,PA,17601,"$448,500 ","5 bds, 4.0 ba ,2694 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/1617-New-Holland-Pike-Lancaster-PA-17601/54234986_zpid/,House for sale
975,,Lancaster,PA,17601,"$1,525,000 ","4 bds, 6.0 ba ,5285 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/124-Eshelman-Rd-Lancaster-PA-17601/9758785_zpid/,House for sale
976,,Lancaster,PA,17601,"$179,900 ","3 bds, 3.0 ba ,1453 sqft",Life Changes Realty Group,https://www.zillow.com/homedetails/2610-Duke-Street-Lancaster-PA-17601/2101911347_zpid/,House for sale
